StateAb,DivisionNm,CandidateNm,PartyNm,BallotPosition
NSW,Warringah,"GLANVILLE, Kristyn",The Greens,10
NSW,Watson,"WRIGHTSON, Dean",United Australia Party,1
NSW,Watson,"SCHUBERT, Karl",Christian Democratic Party (Fred Nile Group),2
NSW,Watson,"ZENG, Raymond",Science Party,3
NSW,Watson,"de BHALDRAITHE, Emmet",The Greens,4
NSW,Watson,"BURKE, Tony",Australian Labor Party,5
NSW,Watson,"ZAMAN, Mohammad",Liberal,6
NSW,Wentworth,"DRAKE-BROCKMAN, Matthew",Independent,1
NSW,Wentworth,"MURRAY, Tim",Australian Labor Party,2
NSW,Wentworth,"BLOOMFIELD, Michael John",United Australia Party,3
NSW,Wentworth,"TREACY, Paul",Christian Democratic Party (Fred Nile Group),4
NSW,Wentworth,"SHARMA, Dave",Liberal,5
NSW,Wentworth,"KANAK, Dominic Wy",The Greens,6
NSW,Wentworth,"PHELPS, Kerryn",Independent,7
NSW,Werriwa,"STOREY, Narelle",Christian Democratic Party (Fred Nile Group),1
NSW,Werriwa,"MILLER, Shayne",Liberal,2
NSW,Werriwa,"WESTERBERG, Signe",The Greens,3
NSW,Werriwa,"WHITE, Michael",Independent,4
NSW,Werriwa,"TSIRIPLIS, Ignatios",United Australia Party,5
NSW,Werriwa,"STANLEY, Anne Maree",Australian Labor Party,6
NSW,Whitlam,"CUDA, Angelo",United Australia Party,1
NSW,Whitlam,"NERO, Frank Rodolfo",Christian Democratic Party (Fred Nile Group),2
NSW,Whitlam,"WENTWORTH, Stephen",The Nationals,3
NSW,Whitlam,"JONES, Stephen",Australian Labor Party,4
NSW,Whitlam,"DIXON, Jamie",The Greens,5
NSW,Whitlam,"DAVIS, Ken",Sustainable Australia,6
NT,Lingiari,"SNOWDON, Warren",Australian Labor Party,1
NT,Lingiari,"HANNA, George",The Greens,2
NT,Lingiari,"HODGSON, Daniel Isaac",United Australia Party,3
NT,Lingiari,"McCARTHY, Regina",Rise Up Australia Party,4
NT,Lingiari,"MacFARLANE, Hamish",Independent,5
NT,Lingiari,"PRICE, Jacinta",Country Liberals (NT),6
NT,Solomon,"GOSLING, Luke John",Australian Labor Party,1
NT,Solomon,"GIMINI, Lorraine",Rise Up Australia Party,2
NT,Solomon,"GANLEY, Kathy",Country Liberals (NT),3
NT,Solomon,"PARISH, Timothy",The Greens,4
NT,Solomon,"RAJWIN, Raj Samson",United Australia Party,5
NT,Solomon,"FRASER-ADAMS, Sue",Independent,6
QLD,Blair,"KARANDREWS, Simone",Independent,1
QLD,Blair,"FITZPATRICK, Peter John",Fraser Anning's Conservative National Party,2
QLD,Blair,"NEUMANN, Shayne Kenneth",Australian Labor Party,3
QLD,Blair,"BELL, Sharon",Pauline Hanson's One Nation,4
QLD,Blair,"SHEARMAN, Robert",Liberal National Party of Queensland,5
QLD,Blair,"ZIMPEL, Majella",United Australia Party,6
QLD,Blair,"QUINN, John",Labour DLP,7
QLD,Blair,"DUNCAN, Michelle",The Greens,8
QLD,Blair,"TURNER, John",Independent,9
QLD,Bonner,"FLITCROFT, Simon E F",United Australia Party,1
QLD,Bonner,"BELL, Barbara",The Greens,2
QLD,Bonner,"SYMES, Ian",Pauline Hanson's One Nation,3
QLD,Bonner,"VASTA, Ross",Liberal National Party of Queensland,4
QLD,Bonner,"MAYNARD, Alex",Fraser Anning's Conservative National Party,5
QLD,Bonner,"BRISKEY, Jo",Australian Labor Party,6
QLD,Bowman,"MOON, Emerald",The Greens,1
QLD,Bowman,"LAMING, Andrew",Liberal National Party of Queensland,2
QLD,Bowman,"CLARKE, Shane",United Australia Party,3
QLD,Bowman,"ANDERSON, David",Fraser Anning's Conservative National Party,4
QLD,Bowman,"WADSWORTH, Glen",Pauline Hanson's One Nation,5
QLD,Bowman,"BASTER, Tom",Australian Labor Party,6
QLD,Brisbane,"PERRY, Anne",Pauline Hanson's One Nation,1
QLD,Brisbane,"EVANS, Trevor",Liberal National Party of Queensland,2
QLD,Brisbane,"WHITTAKER, Aaron",United Australia Party,3
QLD,Brisbane,"BARTLETT, Andrew",The Greens,4
QLD,Brisbane,"JEANNERET, Rod",Fraser Anning's Conservative National Party,5
QLD,Brisbane,"NEWBURY, Paul",Australian Labor Party,6
QLD,Brisbane,"EMANUEL, Kamala",Socialist Alliance,7
QLD,Capricornia,"BAMBRICK, Paul",The Greens,1
QLD,Capricornia,"BIRKBECK, George",Katter's Australian Party (KAP),2
QLD,Capricornia,"TEMPLE, Richard",Labour DLP,3
QLD,Capricornia,"MURRAY, Ken",Independent,4
QLD,Capricornia,"LANDRY, Michelle",Liberal National Party of Queensland,5
QLD,Capricornia,"ROBERTSON, Russell",Australian Labor Party,6
QLD,Capricornia,"ROTHERY, Wade",Pauline Hanson's One Nation,7
QLD,Capricornia,"STURGEON, Lindsay",United Australia Party,8
QLD,Capricornia,"PRATT, Grant",Fraser Anning's Conservative National Party,9
QLD,Dawson,"WARE, Ann-Maree",Labour DLP,1
QLD,Dawson,"TURNER, Michael Wayne",Fraser Anning's Conservative National Party,2
QLD,Dawson,"LAWSON, Debra",Pauline Hanson's One Nation,3
QLD,Dawson,"CHRISTENSEN, George",Liberal National Party of Queensland,4
QLD,Dawson,"HASSAN, Belinda",Australian Labor Party,5
QLD,Dawson,"BUNYAN, Brendan",Katter's Australian Party (KAP),6
QLD,Dawson,"LINDENBERG, Imogen",The Greens,7
QLD,Dawson,"QUEENAN, Lachlan",Independent,8
QLD,Dawson,"THOMPSON, Colin Richard",United Australia Party,9
QLD,Dickson,"COYNE, Benedict",The Greens,1
QLD,Dickson,"DUTTON, Peter",Liberal National Party of Queensland,2
QLD,Dickson,"FRANCE, Ali",Australian Labor Party,3
QLD,Dickson,"PROHASKA, Thor",Independent,4
QLD,Dickson,"AUSTIN, Steve",United Australia Party,5
QLD,Dickson,"HALLIWELL, Carrol",Pauline Hanson's One Nation,6
QLD,Dickson,"SIMPSON, Richelle",Fraser Anning's Conservative National Party,7
QLD,Dickson,"BROHMAN, Maureen",Animal Justice Party,8
QLD,Fadden,"WELCH, Jake",Liberal Democrats,1
QLD,Fadden,"STANTON, Luz",Australian Labor Party,2
QLD,Fadden,"EATHER, Darren",Pauline Hanson's One Nation,3
QLD,Fadden,"BARBER, Allan",Fraser Anning's Conservative National Party,4
QLD,Fadden,"TURNER, Scott",The Greens,5
QLD,Fadden,"ROBERT, Stuart",Liberal National Party of Queensland,6
QLD,Fadden,"KRISCHKER, Mara",United Australia Party,7
QLD,Fairfax,"COWLING, Kylie Natasha",United Australia Party,1
QLD,Fairfax,"RYAN, Jake Luke",Fraser Anning's Conservative National Party,2
QLD,Fairfax,"ETHERIDGE, Sue",The Greens,3
QLD,Fairfax,"O'BRIEN, Ted",Liberal National Party of Queensland,4
QLD,Fairfax,"BELCHER, Richard",Sustainable Australia,5
QLD,Fairfax,"HENSELIN, Paul",Pauline Hanson's One Nation,6
QLD,Fairfax,"AUSTRALIE, Sinim",Independent,7
QLD,Fairfax,"CADART, Bertrand",Liberal Democrats,8
QLD,Fairfax,"McGLONE, Julie",Australian Labor Party,9
QLD,Fisher,"GRAY, Trevor David",United Australia Party,1
QLD,Fisher,"PARSELL, Daniel",Australian Labor Party,2
QLD,Fisher,"BURTON, Tracy",The Greens,3
QLD,Fisher,"PATERSON, Christopher",Pauline Hanson's One Nation,4
QLD,Fisher,"WALLACE, Andrew",Liberal National Party of Queensland,5
QLD,Fisher,"JESSOP, Mike",Fraser Anning's Conservative National Party,6
QLD,Fisher,"MONAGHAN, Paul",Love Australia or Leave,7
QLD,Flynn,"BEERS, Zac",Australian Labor Party,1
QLD,Flynn,"HARRIS, Nathan David",United Australia Party,2
QLD,Flynn,"BAKER, Jaiben",The Greens,3
QLD,Flynn,"PETERSON, Murray",Independent,4
QLD,Flynn,"LOHSE, Sharon",Pauline Hanson's One Nation,5
QLD,Flynn,"SCOTT, Duncan George",Independent,6
QLD,Flynn,"HIESLER, Marcus John",Fraser Anning's Conservative National Party,7
