StateAb,Ticket,CandidateNm,PartyNm,BallotPosition
TAS,I,"SINGH, Lisa",Australian Labor Party,4
TAS,I,"ROBERTS, Wayne",Australian Labor Party,5
TAS,I,"FLANAGAN, Robert",Australian Labor Party,6
TAS,J,"STEPHEN, Matthew",Pauline Hanson's One Nation,1
TAS,J,"LAMBERT, Adam",Pauline Hanson's One Nation,2
TAS,K,"JONES, Michael",Fraser Anning's Conservative National Party,1
TAS,K,"FALZON, Frank",Fraser Anning's Conservative National Party,2
TAS,L,"LAMBIE, Jacqui",Jacqui Lambie Network,1
TAS,L,"WILLIAMS, Glynn",Jacqui Lambie Network,2
TAS,L,"REYNOLDS, Chris",Jacqui Lambie Network,3
TAS,M,"INFORMAL, Alfred",Help End Marijuana Prohibition (HEMP) Party,1
TAS,M,"OWEN, Matt",Help End Marijuana Prohibition (HEMP) Party,2
TAS,N,"MORGAN, Kevin",United Australia Party,1
TAS,N,"WILLIAMS, David",United Australia Party,2
TAS,N,"GUNNIS, Craig",United Australia Party,3
TAS,O,"GARLAND, Craig",,1
TAS,O,"DUNCAN, Mark",,2
TAS,P,"BYFIELD, Rebecca Anthea","Shooters, Fishers and Farmers",1
TAS,P,"SWANSON, Kim","Shooters, Fishers and Farmers",2
TAS,UG,"BECK, Greg",Australian Better Families,1
TAS,UG,"MAV, Steve",Independent,2
TAS,UG,"FLANNERY, Francis",Independent,3
TAS,UG,"STREET, Karen",Love Australia or Leave,4
VIC,A,"PATERSON, James",Liberal,1
VIC,A,"HUME, Jane",Liberal,2
VIC,A,"VAN, David",Liberal,3
VIC,A,"RANK, Anita",The Nationals,4
VIC,A,"HOPPITT, Kyle",Liberal,5
VIC,A,"MULCAHY, Julian",Liberal,6
VIC,B,"LUTZ, Geoff",Republican Party of Australia,1
VIC,B,"CONSANDINE, Peter",Republican Party of Australia,2
VIC,C,"PIETSCH, Tessa",Socialist Equality Party,1
VIC,C,"WARDLE, Jason John Bradley",Socialist Equality Party,2
VIC,D,"KEMP, Simon",The Small Business Party,1
VIC,D,"GRAHAM, Peter",The Small Business Party,2
VIC,E,"PAYNE, Bob",Christian Democratic Party (Fred Nile Group),1
VIC,E,"MURPHY, Kevin",Christian Democratic Party (Fred Nile Group),2
VIC,F,"THOOLEN, Catriona Cecilia",United Australia Party,1
VIC,F,"O'CONNOR, Katie Lucinda",United Australia Party,2
VIC,F,"McKAY, Roger",United Australia Party,3
VIC,G,"MUIR, Ricky","Shooters, Fishers and Farmers",1
VIC,G,"STOCK, Damian","Shooters, Fishers and Farmers",2
VIC,H,"AYTON, Philip John",Climate Action! Immigration Action! Accountable Politicians!,1
VIC,H,"KOMPARA, Monika",Climate Action! Immigration Action! Accountable Politicians!,2
VIC,I,"HINCH, Derryn",Derryn Hinch's Justice Party,1
VIC,I,"O'BRIEN, Simone",Derryn Hinch's Justice Party,2
VIC,J,"HOOD, Frances",Help End Marijuana Prohibition (HEMP) Party,1
VIC,J,"GLADMAN, Heather Marie",Help End Marijuana Prohibition (HEMP) Party,2
VIC,K,"ISHERWOOD, Craig",Citizens Electoral Council,1
VIC,K,"PEUT, Gabrielle",Citizens Electoral Council,2
VIC,L,"COLLYER, David",Australian Democrats,1
VIC,L,"WILLIAMS, Marc",Australian Democrats,2
VIC,M,"WITTWER, Paul",Independents For Climate Action Now,1
VIC,M,"CORDNER HUNT, Kammy",Independents For Climate Action Now,2
VIC,N,"KENNEDY, Robert",Liberal Democrats,1
VIC,N,"O'SULLIVAN, Kirsty Maree",Liberal Democrats,2
VIC,O,"SULTAN, Harris",Secular Party of Australia,1
VIC,O,"PERKINS, John L",Secular Party of Australia,2
VIC,P,"BOWDEN, Jennifer A",Labour DLP,1
VIC,P,"McCORMACK, Chris",Labour DLP,2
VIC,P,"BREAKWELL, Kathryn",Labour DLP,3
VIC,Q,"HALLAM, James",Pauline Hanson's One Nation,1
VIC,Q,"CAMERON, Ian John",Pauline Hanson's One Nation,2
VIC,R,"BRIESE, Tania",Pirate Party,1
VIC,R,"SMITH, Shannon",Pirate Party,2
VIC,S,"PERRY, Dustin",VOTEFLUX.ORG | Upgrade Democracy!,1
VIC,S,"CARRIE-WILSON, Seb",VOTEFLUX.ORG | Upgrade Democracy!,2
VIC,T,"EVERARD, Narelle",Australian Workers Party,1
VIC,T,"GAYNOR, Kevin Joseph",Australian Workers Party,2
VIC,U,"SCHULTZ, Ben",Animal Justice Party,1
VIC,U,"McROSTIE, Fiona",Animal Justice Party,2
VIC,V,"RICE, Janet",The Greens,1
VIC,V,"SABARATNAM, Apsara",The Greens,2
VIC,V,"PROCTOR, Claire",The Greens,3
VIC,V,"THOMSON, Nakita",The Greens,4
VIC,V,"BARNES, Alice",The Greens,5
VIC,V,"CAMERON, Judy",The Greens,6
VIC,W,"CRESTANI, Rosalie",Rise Up Australia Party,1
VIC,W,"NALLIAH, Daniel",Rise Up Australia Party,2
VIC,X,"CICCONE, Raffaele",Australian Labor Party,1
VIC,X,"WALSH, Jess",Australian Labor Party,2
VIC,X,"MARSHALL, Gavin",Australian Labor Party,3
VIC,X,"SARWARA, Parvinder",Australian Labor Party,4
VIC,X,"DOUGLAS, Karen",Australian Labor Party,5
VIC,X,"CRAWFORD, Louise",Australian Labor Party,6
VIC,Y,"DOENSEN, Allan",Sustainable Australia,1
VIC,Y,"WEARNE, Madeleine",Sustainable Australia,2
VIC,Z,"CHANDRA, Sunny",,1
VIC,Z,"WHITEHILL, Robert",,2
VIC,AA,"STEVENS, Bruce",Fraser Anning's Conservative National Party,1
VIC,AA,"MAZALEVSKIS, Rita",Fraser Anning's Conservative National Party,2
VIC,AA,"WILLIAMSON, Benjamin",Fraser Anning's Conservative National Party,3
